id,Artist Name,id_sex,id_country,id_language,id_genre,id_arist_type,Debut Year
243,Bryant Myers,1,2,2,3,1,2015
244,Gusttavo Lima,1,19,7,17,1,2009
245,Eladio Carrion,1,2,2,1,1,2017
246,Grupo Firme,1,11,2,11,2,2014
247,Amitabh Bhattacharya,1,9,4,9,1,2008
248,Alicia Keys,2,2,1,4,1,2001
249,Kesha,2,2,1,2,1,2009
250,LAUV,1,2,1,2,1,2015
251,Madonna,2,2,1,2,1,1982
252,Reik,1,11,2,10,2,2005
253,John Legend,1,2,1,4,1,2004
254,Meghan Trainor,2,2,1,2,1,2009
255,Lil Tecca,1,2,1,1,1,2017
256,Lorde,2,27,1,2,1,2012
257,MC Ryan SP,1,19,7,1,1,2019
258,Chris Stapleton,1,2,1,12,1,2015
259,French Montana,1,28,1,1,1,2002
260,Melanie Martinez,2,2,1,2,1,2014
261,Elvis Presley,1,2,1,6,1,1954
262,Rick Ross,1,2,1,1,1,2006
263,Cris MJ,1,29,2,3,1,2019
264,Zedd,1,30,1,8,1,2010
265,Paramore,2,2,1,6,2,2005
266,Chance the Rapper,1,2,1,1,1,2012
267,Ninho,1,8,9,1,1,2017
268,blackbear,1,2,1,4,1,2006
269,Creedence Clearwater Revival,1,2,1,6,2,1968
270,T-Pain,1,2,1,4,1,2005
271,Jung Kook,1,6,3,5,1,2013
272,Skrillex,1,2,1,8,1,2010
273,DJ Khaled,1,2,1,1,1,2006
274,Wizkid,1,31,1,21,1,2011
275,Oasis,1,3,1,6,2,1994
276,Christina Aguilera,2,2,1,2,1,1999
277,Slipknot,1,2,1,20,2,1999
278,Irshad Kamil,1,9,4,9,1,2004
279,Little Mix,2,3,1,2,2,2011
280,Beéle,1,5,2,3,1,2019
281,The Notorious B.I.G.,1,2,1,1,1,1993
282,Mitski,2,26,1,7,1,2012
283,Tainy,1,2,2,3,1,2006
284,Zé Neto & Cristiano,1,19,7,17,2,2011
285,Rammstein,1,14,6,20,2,1995
286,Labrinth,1,3,1,2,1,2010
287,Chencho Corleone,1,2,2,3,1,1999
288,Darell,1,2,2,3,1,2010
289,Bon Jovi,1,2,1,6,2,1984
290,The Killers,1,2,1,6,2,2004
291,blink-182,1,2,1,6,2,1995
292,Summer Walker,2,2,1,4,1,2018
293,Jhené Aiko,2,2,1,4,1,2002
294,Kehlani,2,2,1,4,1,2014
295,Clean Bandit,2,3,1,2,2,2012
296,David Bowie,1,3,1,6,1,1967
297,U2,1,23,1,6,2,1979
298,Aventura,1,2,2,16,2,1996
299,Foo Fighters,1,2,1,6,2,1994
300,The 1975,1,3,1,6,2,2012
301,Maria Becerra,2,24,2,10,1,2019
302,Plan B,1,3,1,1,1,2006
303,Steve Lacy,1,2,1,4,1,2015
304,De La Ghetto,1,2,2,3,1,2004
305,Troye Sivan,1,32,1,2,1,2006
306,Conan Gray,1,2,1,2,1,2017
307,Ludacris,1,2,1,1,1,1999
308,Burna Boy,1,31,1,21,1,2012
309,Danny Ocean,1,33,2,10,1,2009
310,Meek Mill,1,2,1,1,1,2003
311,My Chemical Romance,1,2,1,6,2,2002
312,Alessia Cara,2,1,1,2,1,2015
313,Vishal-Shekhar,1,9,4,9,2,1999
314,Paulo Londra,1,24,2,1,1,2017
315,La Arrolladora Banda El Limón De Rene Camacho,1,11,2,11,2,1997
316,Yeat,1,2,1,1,1,2015
317,Matheus & Kauan,1,19,7,17,2,2010
318,Alok,1,19,7,8,1,2004
319,Bring Me The Horizon,1,3,1,6,2,2006
320,Central Cee,1,3,1,1,1,2014
321,League of Legends,2,2,1,15,2,2009
322,Mac DeMarco,1,1,1,6,1,2012
323,Benson Boone,1,2,1,2,1,2021
324,Dalex,1,2,2,3,1,2014
325,Nickelback,1,1,1,6,2,1996
326,Marc Anthony,1,2,2,10,1,1988
327,Maná,2,11,2,6,2,1987
328,Led Zeppelin,1,3,1,6,2,1969
329,Måneskin,2,34,10,6,2,2017
330,Florida Georgia Line,1,2,1,12,2,2010
331,Luis Fonsi,1,2,2,10,1,1998
332,RAYE,2,3,1,2,1,2014
333,Neton Vega,1,11,2,10,1,2023
334,Gracie Abrams,2,2,1,2,1,2019
335,Timbaland,1,2,1,1,1,1997
336,Jeremih,1,2,1,4,1,2009
337,The Lumineers,1,2,1,19,2,2012
338,Oscar Maydon,1,11,2,10,1,2020
339,Anderson .Paak,1,2,1,4,1,2014
340,Chase Atlantic,1,12,1,4,2,2014
341,Julión �?lvarez y su Norteño Banda,1,11,2,11,2,2007
342,Prince Royce,1,2,2,16,1,2010
343,Bastille,1,3,1,7,2,2010
344,Sfera Ebbasta,1,34,10,1,1,2011
345,Florence + The Machine,2,3,1,6,2,2009
346,YG,1,2,1,1,1,2008
347,Alejandro Sanz,1,25,2,10,1,1989
348,Lil Tjay,1,2,1,1,1,2017
349,GIVĒON,1,2,1,4,1,2018
350,Billy Joel,1,2,1,6,1,1971
351,Luke Bryan,1,2,1,12,1,2007
352,Muse,1,3,1,6,2,1999
353,Jonas Blue,1,3,1,8,1,2015
354,Teddy Swims,1,2,1,2,1,2019
355,Juanes,1,5,2,10,1,1988
356,Jennifer Lopez,2,2,1,2,1,1999
357,Cartel De Santa,1,11,2,1,2,2002
358,T.I.,1,2,1,1,1,2001
359,Gabito Ballesteros,1,11,2,11,1,2015
360,El Alfa,1,35,2,10,1,2008
361,Alka Yagnik,2,9,4,9,1,1980
362,Blessd,1,5,2,3,1,2018
363,NATTI NATASHA,2,35,2,3,1,2010
364,Bruce Springsteen,1,2,1,6,1,1973
365,Alfredo Olivas,1,11,2,11,1,2011
