id_stats_game,positive,negative,price,initialprice,discount,ccu,owners_min,owners_max
12726,11,12,0.49,0.99,51,0,"50,000","100,000"
12727,313,117,16.99,16.99,0,0,"50,000","100,000"
12728,712,87,4.99,4.99,0,1,"50,000","100,000"
12729,1985,86,14.99,14.99,0,2,"50,000","100,000"
12730,1819,165,12.99,12.99,0,187,"50,000","100,000"
12731,3,3,14.99,14.99,0,0,"50,000","100,000"
12732,407,21,14.99,14.99,0,0,"50,000","100,000"
12733,82,19,4.99,4.99,0,0,"50,000","100,000"
12734,270,379,17.49,24.99,30,4,"50,000","100,000"
12735,495,98,14.99,14.99,0,0,"50,000","100,000"
12736,35,2,5.99,5.99,0,0,"50,000","100,000"
12737,831,141,19.99,19.99,0,2,"50,000","100,000"
12738,544,124,9.99,9.99,0,8,"50,000","100,000"
12739,40,15,9.99,9.99,0,1,"50,000","100,000"
12740,342,62,0.0,0.0,0,1,"50,000","100,000"
12741,1690,130,9.74,12.99,25,26,"50,000","100,000"
12742,280,78,5.99,5.99,0,0,"50,000","100,000"
12743,355,115,9.99,9.99,0,0,"50,000","100,000"
12744,4,2,0.99,0.99,0,0,"50,000","100,000"
12745,60,31,4.99,4.99,0,0,"50,000","100,000"
12746,228,112,14.99,14.99,0,0,"50,000","100,000"
12747,766,314,3.99,19.99,80,4,"50,000","100,000"
12748,12,1,2.99,2.99,0,0,"50,000","100,000"
12749,229,13,3.74,14.99,75,1,"50,000","100,000"
12750,1,0,3.99,3.99,0,0,"50,000","100,000"
12751,288,32,1.99,1.99,0,0,"50,000","100,000"
12752,18,2,6.99,9.99,30,0,"50,000","100,000"
12753,136,15,19.99,19.99,0,2,"50,000","100,000"
12754,1,0,4.99,4.99,0,0,"50,000","100,000"
12755,1143,291,10.99,19.99,45,49,"50,000","100,000"
12756,138,37,0.99,0.99,0,0,"50,000","100,000"
12757,145,75,14.99,14.99,0,0,"50,000","100,000"
12758,950,81,19.99,19.99,0,4,"50,000","100,000"
12759,1004,93,17.99,17.99,0,4,"50,000","100,000"
