id_publisher,publisher
492,"Omocat, Llc"
493,Lunarch Studios
494,Bitbeast Games
495,Gameloft
496,800 North And Digital Ranch
497,"Hooded Horse, Acid Wizard Studio"
498,Infini-Brain Inc.
499,Game Grumps
500,Hypetrain Digital
501,Tecopark
502,Gigantgame-A
503,Qing Feng Beijing Technology
504,Dankie
505,S2 Games
506,Klab Inc.
507,Zapray Games
508,Beam Team Publishing
509,Pine Studio
510,Mechanistry
511,Konami Digital Entertainment
512,Sharex Team
513,Winged Cloud
514,Geometa
515,Gsc World Publishing
516,Other Ocean Group
517,Fair Games Aps
518,Amistech Games
519,"Thekla, Inc."
520,Gamious
521,Cruderocks
522,Bishop Armstrong
523,"Spike Chunsoft Co., Ltd."
524,The Game Bakers
525,Movie Games S.A.
526,Lag Studios
527,"Epic Games, Inc."
528,Computer Lunch
529,Soldak Entertainment
530,艺龙游戏
531,Microprose Software
532,Failbetter Games
533,Sometimes You
534,2P Games
535,Aether Studios
536,Sam Barlow
537,Telltale
538,Finji
539,Digitalmindsoft
540,墨鱼玩游戏
541,Giant Army
542,Piboso
543,Rust Ltd.
544,Redcandlegames
545,Kakao Games Europe B.V.
546,Madbyte Games
547,Glyph Worlds
548,Kchamp Games
549,Amanita Design
550,Ul Solutions
551,"Wss Playground, Alliance Arts"
552,League Of Geeks
553,Astragon Entertainment
554,Grease Monkey Games
555,Hl-Galgame
556,Xaviant Games
557,Desertkun
558,"Codemasters, Slightly Mad Studios, Electronic Arts"
559,"Gungho Online Entertainment America, Inc."
560,Bulkhead
561,Robot Gentleman
562,Lilmemes Production
563,Game For People
564,Fruitbat Factory
565,Eleon Game Studios
566,Nasa
567,Nival
568,Zeboyd Digital Entertainment Llc
569,Digital Leisure Inc.
570,Blackbird Interactive
571,Detach Entertainment
572,Slitherine Ltd.
573,Tactical Adventures
574,Portable Moose
575,Toukana Interactive
576,Poolians.Com
577,Laminar Research
578,Sixense
579,Cellar Door Games
580,Glowstick Entertainment
581,Kixeye
582,Earthwork Games
583,Ska Studios
584,Flanne
585,Weirdbeard
586,"Funcom, Shiro Games"
587,Maxim Karpenko
588,"Donkey Crew, Snail Games Usa"
589,Denchisoft
590,Crystal Dynamics
591,Madruga Works
592,"Monochrome, Inc"
593,Libretro
594,Foulball Hangover
595,Define Human Studios
596,"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
597,Excalibur Games
598,Ironhide Game Studio
599,"Koei Tecmo Games Co., Ltd., Ce-Asia(Asia)"
600,Thermite Games
601,Fulqrum Publishing
602,Easyanticheat Ltd
603,Scavengers Studio
604,Digital Confectioners
605,Akaba Studio
606,Ghost Ship Publishing
607,5 Lives Studios
608,Rockfish Games
609,Phoenix Game
610,Octoshark Studios
611,"Kabam Games, Inc."
612,Kongregate
613,Easy Day Studios Pty Ltd
614,Big Blue Bubble
615,Ivy Sly
616,北京网元圣唐娱乐科技有限公司
617,养蛋人 Egg Hatcher
618,Berzerk Studio
619,"V Publishing, Surefire.Games"
620,Autoattack Games
621,Teeworlds Team
622,Zachtronics
623,2D Boy
624,"Goblinz Publishing, Indieark"
625,Perfuse Entertainment
626,Infernum Games Gmbh
627,Komodo
628,"Data Realms, Llc"
629,"Eek! Games, Llc"
630,Doborog Games
631,Terry Cavanagh
632,Mirage Creative Lab
633,"Playnet, Inc."
634,Alphasoft Llc
635,Gigantic Duck Games
636,Dl Softworks
637,Killhouse Games
638,Telltale Games
639,Double Action Factory
640,Mimicryteam
641,Humble North
642,Huniepot
643,Valiant
644,Chalcedony Network
645,Kacper Stasiełuk
646,Demruth
647,Destructive Creations
648,Barrel Roll Games
649,Cybercoconut
650,Dreamhaven
651,Snk Corporation
652,"Sa Industry, Batystore Ltd"
653,"Gearbox Publishing, Aspyr (Mac), 2K"
654,Ncsoft
655,Mckay
656,G・O・P
657,Spotted Kiwi Interactive
658,Valko Game Studios
659,Vankrupt Games
660,"Cold Iron Studios, Focus Entertainment"
661,Godot Engine
662,Whispergames
663,"Hooded Horse, Overhype Studios"
664,Binary Haze Interactive
665,Grunge Games Ltd
666,Kagura Games
667,Aerosoft Gmbh
668,Vulcron
669,"Paradox Interactive, Paradox Arc"
670,Kog Games
671,Subworld
672,Michael Zahniser
673,Hempuli Oy
674,"Private Division, Xbox Game Studios"
675,"Grabthegames, Upgradepoint"
676,Pac0Master
677,Young Horses
678,Sven Co-Op Team
679,Crows Crows Crows
680,Interactive Moolt
681,"Worldwalker Games Llc, Whispergames"
682,Lince Works
683,"Hypetrain Digital, Redruins Softworks"
684,Kasedo Games
685,Ember Lab
686,Unusualsoft
687,Ycjy Games
688,Killmonday Games Ab
689,Otter-Co
690,Forthright Entertainment
691,Heart Machine
692,Anukendev
693,Esea
694,"零创游戏(Zerocreationgame), 2P Games"
695,"Rocketeer Games Studio, Llc"
696,Nomad Games
697,Vantan Game Academy
698,Inxile Entertainment
699,Dragonrise Games
700,"Forward Global Group, Ltd."
701,Microids
702,Playside
703,Paliverse
704,Strategy First
705,"Userjoy Technology Co.,Ltd., Phoenix Game"
706,Nacon
707,"Contingent99, Balor Games"
708,Softstar Entertainment
709,"Gsq Games, Gamirror Games"
710,"方块游戏(Cubegame), 软星科技(Softstarlight)"
711,Volens Nolens Games
712,"Pathea Games, Focus Entertainment, Pm Studios, Inc., Dmm Games"
713,Dry Cactus
714,Super Evil Megacorp
715,"Sloclap, Kepler Interactive"
716,Betadwarf
717,Polymorph Games
718,Ravenhood Games
719,Playism
720,Dnvr Prod
721,Planetary Annihilation Inc
722,Farsight Studios
723,Renderise
724,Rocketwerkz
725,Ovras Team
726,Torpor Games
727,"Grey Box, Six Foot"
728,Feel Free Games
729,"Dear Villagers, E-Home Entertainment"
730,Home Net Games
731,Afterthought Llc
732,Panomix Studio
733,Anarchy Games
734,Flippfly Llc
735,Dotemu
736,Vlambeer
737,"Gibbing Tree, Llc"
738,Ultimate Games S.A.
739,Pixel Sprout Studios
740,"Softstar, Yooreka Studio"
741,Serenity Forge
742,Stephenallen
743,505 Go Inc
744,Dragonsnow
745,"Cyanide Studio, Nacon"
746,Supra Games
747,Innova Co Sarl
748,Legend Studio
749,"Nacon, The Arcade Crew, Gamera Games, Dangen Entertainment"
750,Creability
751,Triiodide Studios
752,Freie Programme Hohenstein
753,Dinosaur Polo Club
754,Reiza Studios
755,Enhance
756,"Black Tabby Games, Serenity Forge"
757,Iobit
758,"Topware Interactive, Ace"
759,Attritom7 Productions
760,"Sector D2, Balor Games"
761,Housemarque
762,Shopalover
763,Shanghai Silvermoon Network Technology Co.Ltd
764,"Frontier, Aspyr (Mac)"
765,Vertigo Games
766,Indie Game Group
767,Suspicious Developments
768,"Allm Co., Ltd."
769,Okomotive
770,Silver Dollar Games
771,Sokpop Collective
772,Level Infinite
773,Apog Labs
774,Wildfire Game（无锡野火数字科技有限公司）
775,Sbug Games
776,Soviet Games
777,Snail Games Usa
778,"Ghostpie Studio, Gamera Games"
779,Reissad Studio
780,Changyou.Com Limited
781,Last Level
782,Circle Five Publishing
783,"Nimble Neuron, Boltrend Global Pte.Ltd"
784,Red Thread Games
785,4G
786,Holotech Studios
787,"Pretty Soon, Indieark"
788,Lightmare Studios
789,Thunderful Publishing
790,Eforb
791,Playstation Pc Llc
792,Snekflat
793,Farbridge
794,Pixel Games Uk
795,Google
796,Cosmic Cow Llc
797,Yc Games
798,"Rokaplay Select, Drillhounds"
799,"President Studio, Playway S.A."
800,Indiegala
801,Pragmatix Ltd
802,Schwiezer System Gmbh
803,"二色幽紫蝶, Re零同人社"
804,Fifth Dimension Company
805,Bankroll Studios
806,Almost Human Games
807,Mad Otter Games
808,Naddic Games
809,Sekai Project
810,Stoic Studio
811,Velan Studios
812,Wolfire Games
813,Pounce Light
814,"Ion Lands, Maple Whispering Limited"
815,"Xelu, Those Awesome Guys"
816,陈 世杰
817,Zombie Panic! Team
818,D-Pad Studio
819,Armor Games Studios
820,Atlant Games Ltd
821,Evga
822,Big Cheese Studio
823,Holyday Studios
824,Cosmic Adventure Squad
825,"Bad Pixel, Tinybuild"
826,Shiver Games
827,Fayju
828,Smorb Software
829,"Gearbox Publishing,  Xbox Game Studios"
830,Amaterasu Software
831,Lasengle Inc.
832,Dekovir Ltd
833,"Isolated Games, Indieark"
834,Mythwright
835,Randumb Studios
836,Emmanuel Perrillon
837,F2Games
838,Vertigo Gaming Inc.
839,1C Online Games
840,Smashgames
841,Airship Syndicate
842,Limited
843,Tt Games
