id_developer,developer
354,"Ubisoft Montreal, Massive Entertainment, And Ubisoft Shanghai"
355,Gunfire Reborn Studio
356,Vikingfabian
357,"Carx Technologies, Llc"
358,Ninja Theory
359,Remedy Entertainment
360,"Kaos Studios, Digital Extremes"
361,（Hong Kong）Gkd
362,Kagami Works
363,Peropero
364,Primal
365,Machinegames
366,Wishlist Games
367,"Iceflake Studios, Colossal Order"
368,"World'S Edge, Relic Entertainment, Forgotten Empires, Climax Studios"
369,"Gunfire Games, Vigil Games, Thq Nordic"
370,1939 Games
371,Frvr
372,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)"
373,Bioware
374,Rockstar North / Toronto
375,Creepy Jar
376,Bedtime Digital Games
377,Ubisoft Entertainment
378,Novalink
379,Shining Rock Software Llc
380,Campo Santo
381,"Proletariat, Inc."
382,Za/Um
383,Offworld
384,Team Meat
385,Microblast Games
386,"Wiplegames Inc.,"
387,Star Gem Inc.
388,"Team Bondi, Rockstar Leeds"
389,Croteam
390,Arenanet®
391,"Koei Tecmo Games Co., Ltd."
392,Undead Labs
393,Thunder Lotus
394,Double Fine Productions
395,Mike Klubnika
396,"Haemimont Games, Abstraction"
397,"Frontier Developments, Aspyr (Mac)"
398,Imgn.Pro
399,"Maddy Makes Games Inc., Extremely Ok Games, Ltd."
400,Ironward
401,Smg Studio
402,Gsc Game World
403,X-Legend
404,Fabio Ferrara
405,Cyberconnect2 Co. Ltd.
406,Rockstar Studios
407,"The Sims Studio, Maxis"
408,Askiisoft
409,Vigil Games
410,"Eidos Montreal, Feral Interactive (Linux/Mac)"
411,Monomi Park
412,Eidos Montreal
413,Ironoak Games
414,"United Front Games, Feral Interactive (Mac)"
415,"Skybox Labs, Ensemble Studios, Forgotten Empires"
416,Red Dot Games
417,"Spike Chunsoft Co., Ltd."
418,Firaxis Games
419,Freakinware Studios
420,Drakeling Labs
421,Bippinbits
422,"2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)"
423,Bay 12 Games
424,"Relic Entertainment, Feral Interactive (Mac/Linux)"
425,Ths
426,2K Marin
427,"Sucker Punch Productions, Nixxes Software"
428,"Fakefish, Undertow Games"
429,Digital Sun
430,Piranha Games Inc.
431,Bethesda Game Studios®
432,Landon Podbielski
433,"One More Level, 3D Realms, Slipgate Ironworks™, All In! Games"
434,Jagex Ltd
435,Netease Games
436,Harebrained Schemes
437,Creaky Corpse Ltd
438,Microsoft Game Studios
439,Gray Matter Studios
440,"Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)"
441,"Ubisoft Quebec, In Collaboration With Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto Studios"
442,Ea Redwood Shores
443,Ronimo Games
444,"Lion Games Co., Ltd."
445,"Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral Interactive (Linux)"
446,Blackspot Entertainment
447,Veewo Games
448,Norsfell
449,People Can Fly
450,Bandai Namco Studios
451,Complex Games
